LANGUAGE,Czech,English,Comment
STR_kecy11,"Já zùstanu tady a schovám se v krytu! Zkuste se vrátit na vaši základnu a pak nìco podniknìte.\n Slibte mi, že se pro mne vrátíte! Prosím.","I stay here and cover! You try go back to your base and do anything for me.\n Please, you must promise me, that you will return for me!",
STR_kecy12,"Slibuji.","I Promise!",

STR_rep1,"Podle zpráv od jednoho z vojákù, který si nepøál být jmenován,\n je situace na ostrovì Trinity hodnocena armádou jako krizová.","The situation on Trinity is calling crisis by Us Army.",
STR_rep2,"Veškerý kontakt s ostrovem byl ztracen pøed šesti dny, kdy se nad ostrovem pøehnala\n velká bouøe a držela se v jeho okolí až do vèerejšího veèera.","We have no contact with island. Contact was lost before six days, when the big storm became.\n It was there for five days. Since yesterday.",
STR_rep3,"Jakékoliv pokusy o kontakt byly neúspìšné.","All attempt about contact has bad success.",
STR_rep4,"Na leteckých zábìrech prùzkumného letounu jsou vidìt opuštìné vesnice a prázdná auta.","We can see abandoded village a and empty cars from the air shot explorational plane.",
STR_rep5,"Kam se podìli obyvatelé ostrova zùstává záhadou.","The mystery is where the people are.",
STR_rep6,"Na prosby mnoha zdravotnických organizací požádala OSN o vyslání malé prùzkumné jednotky,\n která má tuto záhadu vyøešit.","OSN send explorers, which they should unravel this mystery."
STR_rep7,"I pøes pøipomínky Francie a Èíny se akce ujmou jednotky Rangers,\n které podle amerického ministra obrany mìly nedaleko ostrova Trinity cvièení.","They send Rangers from US Army. France and China protested.\n Defense Secretary said that they haved a training close by Trinity.",
STR_rep8,"Ministr obrany popøel zprávu, že by toto cvièení mohlo mít\n jakoukoliv spojitost s událostmi na ostrovì.","Defense Secretary refused option,\n that the training have conjunction with Trinity crisis.",
STR_rep9,"Steve Martin, Timberland","Steve Martin, Timerland",
